n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,1,5001,1,5000,1,5000
10000,1,10001,1,10000,1,10000
15000,1,15001,1,15000,1,15000
20000,1,20001,1,20000,1,20000
25000,1,25001,1,25000,1,25000
30000,1,30001,1,30000,1,30000
35000,1,35001,1,35000,1,35000
40000,1,40001,1,40000,1,40000
45000,1,45001,1,45000,1,45000
50000,1,50001,1,50000,1,50000
55000,1,55001,1,55000,1,55000
60000,1,60001,1,60000,1,60000
65000,1,65001,1,65000,1,65000
70000,1,70001,1,70000,1,70000
75000,1,75001,1,75000,1,75000
80000,1,80001,1,80000,1,80000
85000,1,85001,1,85000,1,85000
90000,1,90001,1,90000,1,90000
95000,1,95001,1,95000,1,95000
100000,1,100001,1,100000,1,100000
