n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,4999,1,5000,4999,5000,4999
10000,9999,1,10000,9999,10000,9999
15000,14999,1,15000,14999,15000,14999
20000,19999,1,20000,19999,20000,19999
25000,24999,1,25000,24999,25000,24999
30000,29999,1,30000,29999,30000,29999
35000,34999,1,35000,34999,35000,34999
40000,39999,1,40000,39999,40000,39999
45000,44999,1,45000,44999,45000,44999
50000,49999,1,50000,49999,50000,49999
55000,54999,1,55000,54999,55000,54999
60000,59999,1,60000,59999,60000,59999
65000,64999,1,65000,64999,65000,64999
70000,69999,1,70000,69999,70000,69999
75000,74999,1,75000,74999,75000,74999
80000,79999,1,80000,79999,80000,79999
85000,84999,1,85000,84999,85000,84999
90000,89999,1,90000,89999,90000,89999
95000,94999,1,95000,94999,95000,94999
100000,99999,1,100000,99999,100000,99999
