n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,4999,1,5000,1,5000,1
10000,9999,1,10000,1,10000,1
15000,14999,1,15000,1,15000,1
20000,19999,1,20000,1,20000,1
25000,24999,1,25000,1,25000,1
30000,29999,1,30000,1,30000,1
35000,34999,1,35000,1,35000,1
40000,39999,1,40000,1,40000,1
45000,44999,1,45000,1,45000,1
50000,49999,1,50000,1,50000,1
55000,54999,1,55000,1,55000,1
60000,59999,1,60000,1,60000,1
65000,64999,1,65000,1,65000,1
70000,69999,1,70000,1,70000,1
75000,74999,1,75000,1,75000,1
80000,79999,1,80000,1,80000,1
85000,84999,1,85000,1,85000,1
90000,89999,1,90000,1,90000,1
95000,94999,1,95000,1,95000,1
100000,99999,1,100000,1,100000,1
