n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,5000,1,5000,2500,5000,1
10000,10000,1,10000,5000,10000,1
15000,15000,1,15000,7500,15000,1
20000,20000,1,20000,10000,20000,1
25000,25000,1,25000,12500,25000,1
30000,30000,1,30000,15000,30000,1
35000,35000,1,35000,17500,35000,1
40000,40000,1,40000,20000,40000,1
45000,45000,1,45000,22500,45000,1
50000,50000,1,50000,25000,50000,1
55000,55000,1,55000,27500,55000,1
60000,60000,1,60000,30000,60000,1
65000,65000,1,65000,32500,65000,1
70000,70000,1,70000,35000,70000,1
75000,75000,1,75000,37500,75000,1
80000,80000,1,80000,40000,80000,1
85000,85000,1,85000,42500,85000,1
90000,90000,1,90000,45000,90000,1
95000,95000,1,95000,47500,95000,1
100000,100000,1,100000,50000,100000,1
