n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,5000,12,5000,5000,5000,5000
10000,10000,13,10000,10000,10000,10000
15000,15000,13,15000,15000,15000,15000
20000,20000,14,20000,20000,20000,20000
25000,25000,14,25000,25000,25000,25000
30000,30000,14,30000,30000,30000,30000
35000,35000,15,35000,35000,35000,35000
40000,40000,15,40000,40000,40000,40000
45000,45000,15,45000,45000,45000,45000
50000,50000,15,50000,50000,50000,50000
55000,55000,15,55000,55000,55000,55000
60000,60000,15,60000,60000,60000,60000
65000,65000,15,65000,65000,65000,65000
70000,70000,16,70000,70000,70000,70000
75000,75000,16,75000,75000,75000,75000
80000,80000,16,80000,80000,80000,80000
85000,85000,16,85000,85000,85000,85000
90000,90000,16,90000,90000,90000,90000
95000,95000,16,95000,95000,95000,95000
100000,100000,16,100000,100000,100000,100000
