n,Unsorted Array,Sorted Array,Singly Unsorted,Singly Sorted,Doubly Unsorted,Doubly Sorted
5000,5000,1,5000,1,5000,1
10000,10000,1,10000,1,10000,1
15000,15000,1,15000,1,15000,1
20000,20000,1,20000,1,20000,1
25000,25000,1,25000,1,25000,1
30000,30000,1,30000,1,30000,1
35000,35000,1,35000,1,35000,1
40000,40000,1,40000,1,40000,1
45000,45000,1,45000,1,45000,1
50000,50000,1,50000,1,50000,1
55000,55000,1,55000,1,55000,1
60000,60000,1,60000,1,60000,1
65000,65000,1,65000,1,65000,1
70000,70000,1,70000,1,70000,1
75000,75000,1,75000,1,75000,1
80000,80000,1,80000,1,80000,1
85000,85000,1,85000,1,85000,1
90000,90000,1,90000,1,90000,1
95000,95000,1,95000,1,95000,1
100000,100000,1,100000,1,100000,1
