n,comparisons_2way,comparisons_3way,n_log2_n,n_log3_n
100,538,675,664.386,419.181
500,3847,4713,4482.892,2828.390
1000,8715,10748,9965.784,6287.710
2000,19403,24041,21931.569,13837.279
4000,42820,52980,47863.137,30198.277
8000,93676,116453,103726.274,65443.993
16000,203288,252782,223452.549,140982.861
32000,438426,545216,478905.097,302155.475
64000,941079,1173904,1021810.194,644690.454
128000,2010166,2503534,2171620.388,1370139.917
256000,4276363,5334621,4599240.777,2901797.850
512000,9065346,11327337,9710481.554,6126631.734
1000000,18674782,23286723,19931568.569,12575419.646
